Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4	LL1210_T1_rep1	LL1210_T1_rep2	LL1210_T1_rep3	LL1210_T1_rep4	LL1210_T2_rep1	LL1210_T2_rep2	LL1210_T2_rep3	LL1210_T2_rep4	LL1210_T3_rep1	LL1210_T3_rep2	LL1210_T3_rep3	LL1210_T3_rep4	LL1210_T4_rep1	LL1210_T4_rep2	LL1210_T4_rep3	LL1210_T4_rep4
WP_003516973.1	24.12053	26.12338	24.72346	24.75435	24.61076	24.72675	24.12376	23.14211	22.83318	25.35894	23.6709	24.86969	24.31349	24.52567	24.1529	24.39645	24.50244	24.12418	23.5309	23.9857	24.22391	23.6316	24.74861	24.08212	23.7964	23.61917	23.57621	23.17436
ADU74051.1	28.83513	28.50512	28.61891	27.87244	28.86106	29.59496	28.50919	28.81328	29.13693	28.86283	28.97316	28.82004	27.67642	28.45403	28.05276	28.80818	28.25101	28.35518	28.5837	28.24312	27.21175	28.01284	28.40604	28.29261	28.0696	28.99487	28.22418	28.84812
WP_003513987.1	19.8318	20.11856	19.09139	19.99163	22.11455	22.17373	20.16218	20.62027	19.34566	20.25771	19.13155	19.4388	21.69652	21.06076	20.47614	21.51474	21.64039	21.45399	21.39691	20.76037	21.85934	20.96473	22.72755	21.45714	21.74014	22.81875	21.65829	21.28019
WP_003515461.1	29.72636	29.99247	29.62991	29.81203	29.94338	29.67025	28.95183	29.21984	27.75477	29.62197	29.08825	30.34761	29.18301	29.51767	29.60723	29.31216	29.56065	29.73375	29.80977	29.62177	29.79685	29.069	29.71661	29.17796	29.29322	29.76557	29.21043	29.90388
WP_003512267.1	27.66443	27.84306	26.91833	26.75132	26.48633	28.29653	26.26747	26.53647	27.57882	27.48639	26.97635	27.41929	27.1698	26.09634	28.06947	28.01719	27.99237	28.22474	26.95121	28.2041	27.41506	28.03063	28.0189	26.15608	27.7765	27.82454	27.77112	28.01113
WP_003515443.1	23.50294	23.68521	23.20114	23.48049	21.01107	22.9544	21.30556	20.6616	23.95721	23.12266	19.59332	20.71123	21.88726	22.20329	21.70009	21.0636	21.12166	24.96198	21.20591	22.04338	21.92282	21.10031	21.41991	21.49871	21.77537	19.68873	20.92213	20.29245
WP_003516971.1	26.19254	27.08455	26.18508	26.99826	25.97972	27.22619	26.66265	27.19045	27.32221	27.07411	25.42636	27.16429	26.63802	27.0182	27.06256	26.96053	26.88156	27.12245	26.86115	26.78115	25.83095	26.56555	26.67174	26.88949	25.59447	26.63773	26.74273	25.74541
WP_003517674.1	20.0781	19.60205	20.77065	20.23165	20.34104	19.98205	20.73055	21.06569	19.79326	20.1044	19.70929	19.55752	22.53567	21.32268	20.83405	20.67762	19.32253	20.8991	21.1167	21.89837	21.05446	19.28364	21.67011	21.16628	19.83181	21.08197	19.69059	20.90378
WP_003516556.1	24.81595	24.28121	25.64969	24.8351	25.44417	25.69717	25.44737	27.95831	24.58802	26.05007	24.50559	24.89569	25.89219	27.36337	25.01093	25.28628	25.70933	25.53213	24.30502	25.71453	25.54241	25.53955	26.05624	27.34554	25.55011	25.22108	26.13857	25.0162
WP_003512265.1	28.27342	27.38476	28.21931	28.11152	28.24518	28.52317	28.24781	28.25982	28.66106	28.30308	28.18134	28.17869	28.53145	28.31675	27.88093	27.68733	28.17314	28.39276	27.76135	28.80809	28.38761	28.60038	28.47489	28.18222	28.47964	28.76919	28.82489	28.91514
WP_003521240.1	27.2935	27.48365	26.95099	26.86999	27.25382	26.81917	27.23696	27.3693	26.7047	27.55005	25.62355	26.60323	26.244	27.6965	27.00215	27.3278	26.99876	27.15044	27.1056	27.55362	26.2829	25.95191	27.67468	27.47584	25.99959	27.10725	26.80765	27.33885
WP_003512571.1	23.103	24.57774	25.48974	23.33121	25.44748	26.71378	18.9869	25.74409	24.98767	19.88049	19.00289	22.67072	24.47069	19.45207	20.93327	24.64206	21.0543	22.15148	19.52586	19.33684	19.40273	19.07344	21.06241	19.19847	19.13894	24.13255	18.98211	24.62056
WP_003516977.1	27.52474	27.16829	26.40122	25.79315	19.20116	20.22244	25.95979	25.07741	19.90566	26.32899	25.81613	24.56443	20.40723	25.52433	23.60642	25.66476	25.89695	25.91345	21.20569	25.76875	25.68773	25.92414	19.41329	25.95031	19.95064	26.35646	26.12723	20.93383
WP_003519571.1	24.79031	24.76017	20.09821	25.18855	20.85412	19.7149	20.69119	25.45824	19.22095	22.03149	24.90963	18.83434	25.65524	21.15074	21.07211	19.61552	25.68751	25.71779	25.54742	25.63454	19.19621	19.53907	25.61842	20.96193	19.78114	19.38132	19.81209	19.28464
WP_003518165.1	24.40339	25.69208	25.99376	25.51095	24.95152	26.12788	25.6509	24.96714	25.52189	25.7274	24.49316	26.44392	25.82375	25.47354	26.02728	25.5263	22.33402	27.2952	26.15778	26.91363	26.4656	26.82099	27.08565	26.92374	26.84704	21.80297	23.43157	24.14008
WP_003512269.1	19.5581	20.0367	20.33717	19.7249	20.19221	21.42839	20.00873	19.95688	20.02309	20.39594	19.83044	19.68155	20.19463	19.53053	19.46704	21.27244	19.40252	19.23882	19.60345	21.06495	19.6537	19.65601	19.20709	19.27993	17.78732	19.17414	19.63878	21.02609
WP_003517343.1	19.99568	21.59564	24.7026	20.15134	20.42435	20.142	20.24808	21.20097	19.85559	20.85959	19.65764	19.50464	20.68405	19.32794	21.16189	19.69205	19.19599	20.99197	22.38196	19.41666	23.80153	24.01879	19.66386	19.06961	21.8096	19.63309	17.60005	24.46786
WP_003518681.1	23.12515	23.83638	23.92526	24.64022	24.2413	24.60275	22.84747	23.44612	17.88526	23.35979	22.06948	23.45795	22.29182	22.6464	22.37931	22.38709	22.32475	22.63451	21.96948	22.60905	19.76859	22.44894	22.69568	22.61227	21.87373	22.09077	24.15269	21.89614
WP_003517341.1	25.03007	27.07434	25.33889	25.67523	24.89618	24.00593	23.94842	27.13306	27.34686	26.2068	23.70468	27.16129	25.3387	25.84081	24.4801	26.6317	25.11969	25.32593	25.21711	24.63185	25.65805	26.72698	25.73727	26.75989	26.61098	25.55536	25.55342	25.76849
WP_003514804.1	25.53355	23.49092	23.95053	24.41058	23.33362	24.9932	24.88416	23.72596	24.62375	24.55932	23.78658	22.46976	22.2596	19.77671	21.01937	21.15778	20.39675	23.67778	21.26299	23.48645	21.8748	22.76737	21.7989	22.27976	22.05716	20.66735	21.42642	22.25242
WP_003512799.1	24.51783	23.2002	24.52613	24.25505	22.81707	19.46277	22.60139	19.63703	23.0535	23.20244	17.62486	22.81653	21.12428	23.4131	23.6962	23.76485	23.57667	23.34548	23.96413	23.34713	24.73392	23.64518	23.47842	23.94265	23.74755	23.60911	24.2968	24.03482
WP_003518046.1	19.29978	24.68144	20.33404	24.41965	24.24487	20.62683	24.09394	23.73443	21.29009	21.00041	21.1376	17.42359	23.16321	19.88941	22.86166	19.49445	19.6535	19.3198	22.84263	19.21056	19.06874	22.75233	19.77857	23.60676	21.23274	19.74835	22.72509	23.34171
WP_003512783.1	20.49241	25.34632	25.67709	25.22723	25.98944	25.05125	25.6179	25.68486	18.82227	19.37246	18.59157	25.64158	25.23845	24.69509	19.54533	19.93218	19.76839	25.4169	19.40311	24.82004	19.88862	24.63594	24.93622	19.5355	18.73551	19.04626	21.12307	19.36508
WP_003515898.1	19.24696	19.34546	22.74728	19.47317	19.93424	19.41122	19.74274	21.28846	19.88695	21.09148	19.68999	21.01974	23.3589	22.72252	19.3432	23.6555	19.06852	19.11072	19.8469	19.66711	19.71742	18.94371	22.37562	19.65249	19.81287	19.86876	18.56959	19.15739
WP_003513828.1	28.84497	28.93691	29.32451	29.04095	29.15574	28.94539	29.10531	29.01753	28.87205	29.58973	29.38918	29.64603	28.79144	28.95536	28.64484	28.16632	28.9946	29.1647	28.23898	28.30352	28.58552	28.91308	29.33617	28.83996	28.80586	29.0383	28.84286	29.15332
WP_003518339.1	25.89587	25.47248	25.02711	26.04907	25.20439	25.36616	25.36856	24.58667	19.81087	24.27412	25.76898	24.34469	21.258	19.20291	19.79096	20.04211	20.77571	19.57388	19.95835	19.78176	17.7035	19.77817	19.07982	18.93981	19.73589	19.69701	19.67122	19.61746
ADU74726.1	27.2249	26.46972	26.88065	27.02767	27.0883	26.43789	26.8795	27.50954	25.85975	26.74239	26.47919	26.52372	27.21226	27.44554	27.3344	27.41189	27.00423	27.62306	27.36029	27.15549	26.37048	27.44956	27.40318	27.19281	27.06636	26.92298	27.35342	27.35283
WP_003514291.1	26.59928	26.44237	26.34322	26.44105	26.43283	26.21076	26.58728	26.79564	25.66772	26.46254	23.27907	26.85108	26.58998	26.4665	25.92321	24.48063	25.32885	25.53234	25.81927	26.07681	24.89444	26.43428	26.74142	25.60596	24.87634	26.02103	25.03091	26.2486
ADU74284.1	21.2893	20.53009	19.83613	25.05402	20.34667	21.40461	20.16798	19.71331	19.97351	19.45187	19.6115	18.41326	19.71225	20.00715	19.9034	19.37249	19.88842	19.69019	19.27947	19.08336	21.18365	19.60392	19.89841	19.77472	19.90046	26.37265	19.5925	26.5122
WP_003516238.1	28.65285	28.80004	29.38428	29.49556	28.47258	29.06994	30.23887	28.93513	29.76012	29.82273	30.29914	30.57068	29.44036	29.45195	29.69654	30.01671	29.96978	29.84876	30.15974	29.47093	29.65512	30.14512	29.34643	29.5856	28.52183	29.34616	28.73281	28.76698
WP_003517353.1	24.08362	24.58823	24.51813	24.91477	27.91294	27.1764	27.35933	27.53001	27.04028	27.19921	28.31365	27.98252	27.1497	27.27205	27.06886	26.95342	27.9745	28.44481	29.03909	28.16442	29.11548	28.6531	28.79353	28.57269	28.28692	29.04591	28.70937	28.1126
