"Protein"	"LL1210_T1_rep1"	"LL1210_T1_rep2"	"LL1210_T1_rep3"	"LL1210_T1_rep4"	"LL1210_T2_rep1"	"LL1210_T2_rep2"	"LL1210_T2_rep3"	"LL1210_T2_rep4"	"LL1210_T3_rep1"	"LL1210_T3_rep2"	"LL1210_T3_rep3"	"LL1210_T3_rep4"	"LL1210_T4_rep1"	"LL1210_T4_rep2"	"LL1210_T4_rep3"	"LL1210_T4_rep4"
"WP_003515461.1"	29.18301	29.51767	29.60723	29.31216	29.56065	29.73375	29.80977	29.62177	29.79685	29.069	29.71661	29.17796	29.29322	29.76557	29.21043	29.90388
"WP_003512267.1"	27.1698	26.09634	28.06947	28.01719	27.99237	28.22474	26.95121	28.2041	27.41506	28.03063	28.0189	26.15608	27.7765	27.82454	27.77112	28.01113
"WP_003515443.1"	21.88726	22.20329	21.70009	21.0636	21.12166	24.96198	21.20591	22.04338	21.92282	21.10031	21.41991	21.49871	21.77537	19.68873	20.92213	20.29245
"WP_003516971.1"	26.63802	27.0182	27.06256	26.96053	26.88156	27.12245	26.86115	26.78115	25.83095	26.56555	26.67174	26.88949	25.59447	26.63773	26.74273	25.74541
"WP_003517674.1"	22.53567	21.32268	20.83405	20.67762	19.32253	20.8991	21.1167	21.89837	21.05446	19.28364	21.67011	21.16628	19.83181	21.08197	19.69059	20.90378
"WP_003516556.1"	25.89219	27.36337	25.01093	25.28628	25.70933	25.53213	24.30502	25.71453	25.54241	25.53955	26.05624	27.34554	25.55011	25.22108	26.13857	25.0162
"WP_003512265.1"	28.53145	28.31675	27.88093	27.68733	28.17314	28.39276	27.76135	28.80809	28.38761	28.60038	28.47489	28.18222	28.47964	28.76919	28.82489	28.91514
"WP_003521240.1"	26.244	27.6965	27.00215	27.3278	26.99876	27.15044	27.1056	27.55362	26.2829	25.95191	27.67468	27.47584	25.99959	27.10725	26.80765	27.33885
"WP_003512571.1"	24.47069	19.45207	20.93327	24.64206	21.0543	22.15148	19.52586	19.33684	19.40273	19.07344	21.06241	19.19847	19.13894	24.13255	18.98211	24.62056
"WP_003516977.1"	20.40723	25.52433	23.60642	25.66476	25.89695	25.91345	21.20569	25.76875	25.68773	25.92414	19.41329	25.95031	19.95064	26.35646	26.12723	20.93383
"WP_003519571.1"	25.65524	21.15074	21.07211	19.61552	25.68751	25.71779	25.54742	25.63454	19.19621	19.53907	25.61842	20.96193	19.78114	19.38132	19.81209	19.28464
"WP_003518165.1"	25.82375	25.47354	26.02728	25.5263	22.33402	27.2952	26.15778	26.91363	26.4656	26.82099	27.08565	26.92374	26.84704	21.80297	23.43157	24.14008
