Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
WP_003512871.1	20.65587	20.03076	19.57651	20.79469	19.68785	20.13617	19.4887	20.14401	21.07394	20.40287	20.77141	19.09681
WP_003521254.1	24.15475	24.92701	24.30169	23.44373	23.83664	24.70464	23.79177	23.80625	19.46946	23.95198	22.90689	24.26999
WP_003517223.1	19.98971	22.80571	19.80781	20.14551	19.67868	23.57872	23.33887	24.1446	22.93503	25.60172	20.9146	22.19808
WP_003512952.1	23.99589	24.16006	24.26806	24.37121	24.09077	24.73094	24.31594	24.88402	24.54099	25.27833	23.00458	24.32849
WP_003517648.1	26.5419	25.73012	24.83912	26.26265	25.92303	25.9199	26.10176	27.55066	27.92375	26.85336	26.48069	26.4151
WP_003513246.1	18.78031	18.82948	20.88726	23.62559	19.28973	20.90989	19.47925	20.48747	20.74115	20.85454	19.25927	20.88624
WP_003518938.1	26.173	26.85996	20.2494	18.96694	19.90636	18.95575	19.714	20.34019	22.82388	19.09823	21.0072	19.17946
WP_003514478.1	22.42663	22.11609	22.35444	25.55354	25.08634	20.6675	24.30774	23.39943	24.47124	23.04037	21.07158	22.95151
WP_003514025.1	20.53408	20.57148	24.69927	20.67601	20.96891	24.93695	20.80954	25.42753	21.16369	19.9002	19.34001	18.96605
WP_003518706.1	28.22376	28.54769	28.3096	28.17365	27.91389	28.4767	27.45907	27.10879	27.87067	27.97811	27.99988	28.27315
WP_003512565.1	25.73465	25.36061	24.65109	25.80399	25.74786	26.06804	26.03862	25.0749	23.75361	25.49222	23.47573	25.58678
WP_003515445.1	27.00184	28.25732	28.51929	28.11986	27.51716	27.82972	29.18197	28.00022	27.01597	28.26218	28.16069	29.34556
WP_003516833.1	22.83111	19.87392	25.36082	25.42894	25.80102	22.3249	22.39326	20.12509	19.54772	25.14779	24.6786	26.08806
WP_003516973.1	24.12053	26.12338	24.72346	24.75435	24.61076	24.72675	24.12376	23.14211	22.83318	25.35894	23.6709	24.86969
ADU74051.1	28.83513	28.50512	28.61891	27.87244	28.86106	29.59496	28.50919	28.81328	29.13693	28.86283	28.97316	28.82004
WP_003513987.1	19.8318	20.11856	19.09139	19.99163	22.11455	22.17373	20.16218	20.62027	19.34566	20.25771	19.13155	19.4388
WP_003515461.1	29.72636	29.99247	29.62991	29.81203	29.94338	29.67025	28.95183	29.21984	27.75477	29.62197	29.08825	30.34761
WP_003512267.1	27.66443	27.84306	26.91833	26.75132	26.48633	28.29653	26.26747	26.53647	27.57882	27.48639	26.97635	27.41929
WP_003515443.1	23.50294	23.68521	23.20114	23.48049	21.01107	22.9544	21.30556	20.6616	23.95721	23.12266	19.59332	20.71123
WP_003516971.1	26.19254	27.08455	26.18508	26.99826	25.97972	27.22619	26.66265	27.19045	27.32221	27.07411	25.42636	27.16429
WP_003517674.1	20.0781	19.60205	20.77065	20.23165	20.34104	19.98205	20.73055	21.06569	19.79326	20.1044	19.70929	19.55752
WP_003516556.1	24.81595	24.28121	25.64969	24.8351	25.44417	25.69717	25.44737	27.95831	24.58802	26.05007	24.50559	24.89569
WP_003512265.1	28.27342	27.38476	28.21931	28.11152	28.24518	28.52317	28.24781	28.25982	28.66106	28.30308	28.18134	28.17869
WP_003521240.1	27.2935	27.48365	26.95099	26.86999	27.25382	26.81917	27.23696	27.3693	26.7047	27.55005	25.62355	26.60323
WP_003512571.1	23.103	24.57774	25.48974	23.33121	25.44748	26.71378	18.9869	25.74409	24.98767	19.88049	19.00289	22.67072
WP_003516977.1	27.52474	27.16829	26.40122	25.79315	19.20116	20.22244	25.95979	25.07741	19.90566	26.32899	25.81613	24.56443
WP_003519571.1	24.79031	24.76017	20.09821	25.18855	20.85412	19.7149	20.69119	25.45824	19.22095	22.03149	24.90963	18.83434
WP_003518165.1	24.40339	25.69208	25.99376	25.51095	24.95152	26.12788	25.6509	24.96714	25.52189	25.7274	24.49316	26.44392
WP_003512269.1	19.5581	20.0367	20.33717	19.7249	20.19221	21.42839	20.00873	19.95688	20.02309	20.39594	19.83044	19.68155
WP_003517343.1	19.99568	21.59564	24.7026	20.15134	20.42435	20.142	20.24808	21.20097	19.85559	20.85959	19.65764	19.50464
WP_003518681.1	23.12515	23.83638	23.92526	24.64022	24.2413	24.60275	22.84747	23.44612	17.88526	23.35979	22.06948	23.45795
WP_003517341.1	25.03007	27.07434	25.33889	25.67523	24.89618	24.00593	23.94842	27.13306	27.34686	26.2068	23.70468	27.16129
WP_003514804.1	25.53355	23.49092	23.95053	24.41058	23.33362	24.9932	24.88416	23.72596	24.62375	24.55932	23.78658	22.46976
WP_003512799.1	24.51783	23.2002	24.52613	24.25505	22.81707	19.46277	22.60139	19.63703	23.0535	23.20244	17.62486	22.81653
WP_003518046.1	19.29978	24.68144	20.33404	24.41965	24.24487	20.62683	24.09394	23.73443	21.29009	21.00041	21.1376	17.42359
WP_003512783.1	20.49241	25.34632	25.67709	25.22723	25.98944	25.05125	25.6179	25.68486	18.82227	19.37246	18.59157	25.64158
WP_003515898.1	19.24696	19.34546	22.74728	19.47317	19.93424	19.41122	19.74274	21.28846	19.88695	21.09148	19.68999	21.01974
WP_003513828.1	28.84497	28.93691	29.32451	29.04095	29.15574	28.94539	29.10531	29.01753	28.87205	29.58973	29.38918	29.64603
WP_003518339.1	25.89587	25.47248	25.02711	26.04907	25.20439	25.36616	25.36856	24.58667	19.81087	24.27412	25.76898	24.34469
ADU74726.1	27.2249	26.46972	26.88065	27.02767	27.0883	26.43789	26.8795	27.50954	25.85975	26.74239	26.47919	26.52372
WP_003514291.1	26.59928	26.44237	26.34322	26.44105	26.43283	26.21076	26.58728	26.79564	25.66772	26.46254	23.27907	26.85108
ADU74284.1	21.2893	20.53009	19.83613	25.05402	20.34667	21.40461	20.16798	19.71331	19.97351	19.45187	19.6115	18.41326
WP_003516238.1	28.65285	28.80004	29.38428	29.49556	28.47258	29.06994	30.23887	28.93513	29.76012	29.82273	30.29914	30.57068
WP_003517353.1	24.08362	24.58823	24.51813	24.91477	27.91294	27.1764	27.35933	27.53001	27.04028	27.19921	28.31365	27.98252
WP_003514293.1	24.29387	23.98489	24.47237	24.69426	24.52831	24.07527	24.30534	24.1938	23.46023	24.50016	22.39427	24.12321
WP_003512610.1	20.80222	21.41245	21.87228	20.6354	21.55932	22.10729	22.13522	22.30925	20.26506	19.24685	19.77929	19.53775
WP_003517370.1	21.68036	19.293	20.25512	19.4217	20.67334	20.9292	19.49171	22.80685	20.29012	19.70099	20.08008	19.4574
WP_003519238.1	19.47426	22.78846	23.29985	22.20396	27.64728	27.46347	22.76144	27.37807	26.77515	27.51903	20.10593	19.62917
WP_003518486.1	28.73807	28.58571	28.59059	28.82224	28.58618	27.6848	28.73745	28.56619	28.11168	28.7057	28.01315	28.76467
WP_003513339.1	26.35894	27.62428	27.55341	27.538	27.34461	27.28407	27.44846	28.06537	27.7979	27.09665	27.07061	27.95953
