Genes	hpt_T1	hpt_T2	hpt_T3
WP_003512015.1	-0.228981837278	-1.09409316559	1.32307500287
WP_003512019.1	-0.674279469037	-0.739433717795	1.41371318683
WP_003512022.1	-0.837927176892	-0.567651095546	1.40557827244
WP_003512025.1	1.39949880061	-0.875966114362	-0.523532686251
WP_003512026.1	0.119220489092	-1.27999537074	1.16077488165
WP_003512034.1	0.0881525868979	-1.26643951323	1.17828692633
WP_003512035.1	-1.2915650666	0.146888998502	1.14467606809
WP_003512036.1	1.21842943781	-1.23096408868	0.0125346508696
WP_003512048.1	1.01301953269	-1.36111117624	0.348091643554
WP_003512050.1	-1.17301338688	1.27063365216	-0.0976202652768
WP_003512055.1	0.413815451669	-1.37804716201	0.964231710343
WP_003512057.1	1.11924130339	-1.30826888591	0.189027582514
WP_003512062.1	-1.04554076945	-0.301931606637	1.34747237609
WP_003512064.1	-0.898884802336	1.39496055758	-0.496075755239
WP_003512072.1	-0.641580404088	-0.770667968853	1.41224837294
WP_003512074.1	1.32451027312	-1.09150378512	-0.233006488002
WP_003512076.1	-1.41237371511	0.768639773036	0.643733942073
WP_003512078.1	0.9143573607	0.47714618965	-1.39150355035
WP_003512093.1	-1.39558117745	0.49963690375	0.895944273696
WP_003512095.1	-1.23284827305	1.21647734393	0.0163709291206
WP_003512097.1	-1.19542836703	1.2520942447	-0.0566658776766
WP_003512101.1	1.03097157265	0.322859734499	-1.35383130715
WP_003512104.1	1.24038105393	-1.20848563215	-0.0318954217787
WP_003512106.1	-0.327804506749	-1.02748691647	1.35529142322
WP_003512109.1	-1.37050747353	0.383124710098	0.987382763429
WP_003512112.1	0.287147639319	1.05565913308	-1.34280677239
WP_003512113.1	1.22933124088	-1.22010638975	-0.00922485113288
WP_003512117.1	1.40852403993	-0.81401183414	-0.594512205787
WP_003512119.1	1.3668655803	-0.369173559509	-0.997692020791
WP_003512125.1	-0.975144276817	-0.399456739106	1.37460101592
WP_003512126.1	-0.832301825779	-0.574028491614	1.40633031739
WP_003512127.1	0.0470175914175	1.20055901678	-1.2475766082
WP_003512148.1	0.272364308331	-1.33799880518	1.06563449685
WP_003512157.1	-0.221363620049	-1.09896632509	1.32032994514
WP_003512164.1	1.37821814854	-0.414543870206	-0.963674278331
