C0 (205 genes)	C1 (144 genes)	C2 (75 genes)	C3 (77 genes)	C4 (94 genes)	C5 (136 genes)	C6 (183 genes)	C7 (90 genes)	C8 (93 genes)	C9 (64 genes)	C10 (65 genes)
WP_003512461.1	WP_003513141.1	WP_003515405.1	WP_003514662.1	WP_003515665.1	WP_003513007.1	WP_003512710.1	WP_003514104.1	WP_003513829.1	WP_003516374.1	WP_003515026.1
WP_003512521.1	WP_003513222.1	WP_003515458.1	WP_003514667.1	WP_003515754.1	WP_003513162.1	WP_003512826.1	WP_003514187.1	WP_003514120.1	WP_003516421.1	WP_003515449.1
WP_003512523.1	WP_003513296.1	WP_003515461.1	WP_003514694.1	WP_003515802.1	WP_003513203.1	WP_003512867.1	WP_003514302.1	WP_003514215.1	WP_003516518.1	WP_003515501.1
WP_003512565.1	WP_003513335.1	WP_003515463.1	WP_003514852.1	WP_003516145.1	WP_003513251.1	WP_003512952.1	WP_003514309.1	WP_003514246.1	WP_003516952.1	WP_003515536.1
WP_003512571.1	WP_003513424.1	WP_003515565.1	WP_003515019.1	WP_003516186.1	WP_003513279.1	WP_003513015.1	WP_003514607.1	WP_003514375.1	WP_003517008.1	WP_003515548.1
WP_003512574.1	WP_003513436.1	WP_003515583.1	WP_003515443.1	WP_003516214.1	WP_003513339.1	WP_003513023.1	WP_003514651.1	WP_003514399.1	WP_003517022.1	WP_003515575.1
WP_003512636.1	WP_003513565.1	WP_003515736.1	WP_003515476.1	WP_003516223.1	WP_003513372.1	WP_003513065.1	WP_003514839.1	WP_003514440.1	WP_003517036.1	WP_003515590.1
WP_003512702.1	WP_003513572.1	WP_003515758.1	WP_003515554.1	WP_003516259.1	WP_003513399.1	WP_003513166.1	WP_003515309.1	WP_003514456.1	WP_003517071.1	WP_003515921.1
WP_003512781.1	WP_003513594.1	WP_003515764.1	WP_003515732.1	WP_003516304.1	WP_003513400.1	WP_003513182.1	WP_003515355.1	WP_003514463.1	WP_003517096.1	WP_003516061.1
WP_003512783.1	WP_003513610.1	WP_003515791.1	WP_003515892.1	WP_003516319.1	WP_003513413.1	WP_003513209.1	WP_003515507.1	WP_003514465.1	WP_003517185.1	WP_003516171.1
WP_003512791.1	WP_003513613.1	WP_003515960.1	WP_003515985.1	WP_003516337.1	WP_003513418.1	WP_003513282.1	WP_003515609.1	WP_003514467.1	WP_003517213.1	WP_003516257.1
WP_003512804.1	WP_003513624.1	WP_003516175.1	WP_003516075.1	WP_003516353.1	WP_003513428.1	WP_003513303.1	WP_003515738.1	WP_003514478.1	WP_003517249.1	WP_003516547.1
WP_003513117.1	WP_003513693.1	WP_003516235.1	WP_003516134.1	WP_003516527.1	WP_003513513.1	WP_003513333.1	WP_003515750.1	WP_003514545.1	WP_003517262.1	WP_003516730.1
WP_003513175.1	WP_003513756.1	WP_003516315.1	WP_003516177.1	WP_003516528.1	WP_003513639.1	WP_003513361.1	WP_003515756.1	WP_003514760.1	WP_003517285.1	WP_003516777.1
WP_003513195.1	WP_003513780.1	WP_003516364.1	WP_003516250.1	WP_003516698.1	WP_003513950.1	WP_003513421.1	WP_003515879.1	WP_003514904.1	WP_003517408.1	WP_003516995.1
WP_003513200.1	WP_003513925.1	WP_003516416.1	WP_003516312.1	WP_003516767.1	WP_003513964.1	WP_003513515.1	WP_003516148.1	WP_003515288.1	WP_003517657.1	WP_003517107.1
WP_003513250.1	WP_003513930.1	WP_003516491.1	WP_003516438.1	WP_003516841.1	WP_003514339.1	WP_003513536.1	WP_003516173.1	WP_003515290.1	WP_003517666.1	WP_003517142.1
WP_003513306.1	WP_003513961.1	WP_003516522.1	WP_003516448.1	WP_003516905.1	WP_003514493.1	WP_003513588.1	WP_003516241.1	WP_003515302.1	WP_003517948.1	WP_003517221.1
WP_003513337.1	WP_003514141.1	WP_003516785.1	WP_003516581.1	WP_003516942.1	WP_003514556.1	WP_003513615.1	WP_003516266.1	WP_003515557.1	WP_003517995.1	WP_003517264.1
WP_003513352.1	WP_003514144.1	WP_003516877.1	WP_003516913.1	WP_003516984.1	WP_003514575.1	WP_003513630.1	WP_003516367.1	WP_003515651.1	WP_003518023.1	WP_003517581.1
WP_003513364.1	WP_003514304.1	WP_003517033.1	WP_003516977.1	WP_003517000.1	WP_003514582.1	WP_003513763.1	WP_003516515.1	WP_003515661.1	WP_003518401.1	WP_003517649.1
WP_003513366.1	WP_003514315.1	WP_003517198.1	WP_003517040.1	WP_003517018.1	WP_003514599.1	WP_003513782.1	WP_003516545.1	WP_003515675.1	WP_003518472.1	WP_003517802.1
WP_003513451.1	WP_003514324.1	WP_003517255.1	WP_003517144.1	WP_003517069.1	WP_003514606.1	WP_003513786.1	WP_003516564.1	WP_003515917.1	WP_003518554.1	WP_003518129.1
WP_003513493.1	WP_003514578.1	WP_003517266.1	WP_003517187.1	WP_003517108.1	WP_003514612.1	WP_003513792.1	WP_003516583.1	WP_003515923.1	WP_003518595.1	WP_003518453.1
WP_003513498.1	WP_003514580.1	WP_003517268.1	WP_003517189.1	WP_003517153.1	WP_003514681.1	WP_003513808.1	WP_003516641.1	WP_003515942.1	WP_003518603.1	WP_003518458.1
WP_003513547.1	WP_003514597.1	WP_003517454.1	WP_003517208.1	WP_003517214.1	WP_003514696.1	WP_003513817.1	WP_003516839.1	WP_003516142.1	WP_003518801.1	WP_003518588.1
WP_003513578.1	WP_003514641.1	WP_003517602.1	WP_003517212.1	WP_003517215.1	WP_003514830.1	WP_003513825.1	WP_003516982.1	WP_003516190.1	WP_003518809.1	WP_003518593.1
WP_003513583.1	WP_003514668.1	WP_003517679.1	WP_003517237.1	WP_003517280.1	WP_003515378.1	WP_003513828.1	WP_003517223.1	WP_003516296.1	WP_003518906.1	WP_003518690.1
WP_003513611.1	WP_003514675.1	WP_003517719.1	WP_003517401.1	WP_003517440.1	WP_003515381.1	WP_003513878.1	WP_003517377.1	WP_003516360.1	WP_003519002.1	WP_003519027.1
WP_003513713.1	WP_003515022.1	WP_003517778.1	WP_003517442.1	WP_003517497.1	WP_003515445.1	WP_003513904.1	WP_003517381.1	WP_003516413.1	WP_003519151.1	WP_003519072.1
WP_003513767.1	WP_003515024.1	WP_003517940.1	WP_003517534.1	WP_003517504.1	WP_003515545.1	WP_003513992.1	WP_003517514.1	WP_003516624.1	WP_003519329.1	WP_003519257.1
WP_003513819.1	WP_003515029.1	WP_003517942.1	WP_003517535.1	WP_003517651.1	WP_003515572.1	WP_003514024.1	WP_003517539.1	WP_003516852.1	WP_003519448.1	WP_003519374.1
WP_003513908.1	WP_003515523.1	WP_003517957.1	WP_003517545.1	WP_003517742.1	WP_003515604.1	WP_003514181.1	WP_003517754.1	WP_003516862.1	WP_003519601.1	WP_003519434.1
WP_003513911.1	WP_003515540.1	WP_003518251.1	WP_003517597.1	WP_003517791.1	WP_003515646.1	WP_003514192.1	WP_003517853.1	WP_003517014.1	WP_003520472.1	WP_003520820.1
WP_003513995.1	WP_003515543.1	WP_003518259.1	WP_003517667.1	WP_003517805.1	WP_003515690.1	WP_003514209.1	WP_003517891.1	WP_003517270.1	WP_003521553.1	WP_003521086.1
WP_003514175.1	WP_003515593.1	WP_003518557.1	WP_003517677.1	WP_003517903.1	WP_003515733.1	WP_003514216.1	WP_003517961.1	WP_003517348.1	WP_004463784.1	WP_011838186.1
WP_003514211.1	WP_003515607.1	WP_003518639.1	WP_003517880.1	WP_003517920.1	WP_003515762.1	WP_003514230.1	WP_003518077.1	WP_003517355.1		WP_095522195.1
WP_003514218.1	WP_003515688.1	WP_003518679.1	WP_003517950.1	WP_003517974.1	WP_003515789.1	WP_003514245.1	WP_003518180.1	WP_003517362.1		
WP_003514291.1	WP_003515828.1	WP_003518885.1	WP_003518536.1	WP_003517987.1	WP_003515841.1	WP_003514728.1	WP_003518187.1	WP_003517364.1		
WP_003514311.1	WP_003515910.1	WP_003518900.1	WP_003518633.1	WP_003517991.1	WP_003515896.1	WP_003514804.1	WP_003518239.1	WP_003517374.1		
