ProteinID	GO
WP_003511558.1	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0003723,GO:0003676,GO:0044424,GO:0008168,GO:0032259
WP_003511560.1	GO:0000160,
WP_003511564.1	GO:0005737,GO:0019277,GO:0009252,GO:0008760,GO:0009423,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0003824,GO:0008360,GO:0004190,GO:0007049,GO:0071555,GO:0006508,GO:0044424,GO:0016765,GO:0009073,GO:0051301,GO:0003866
WP_003511571.1	GO:0030261,GO:0003677
WP_003511577.1	GO:0016836
WP_003511587.1	GO:0004019,GO:0033202,GO:0031975,GO:0043229,GO:0043228,GO:0046040,GO:0043227,GO:0046086,GO:0005737,GO:0044208,GO:0016021,GO:0000287,GO:0005525,GO:0016208,GO:0071276,GO:0061483,GO:0043233,GO:0016811,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0003688,GO:0019002,GO:0006106,GO:0006164,GO:0044424
WP_003511591.1	GO:0016021,GO:0016020,GO:0044464,GO:0005623,GO:0005575,GO:0016740,GO:0071944,GO:0005886
WP_003511596.1	GO:0044249,GO:0071944,GO:0005623,GO:0034645,GO:0035268,GO:0035269,GO:0009100,GO:0009101,GO:0044267,GO:0040007,GO:0006486,GO:0016021,GO:0016020,GO:0071704,GO:0036211,GO:1901576,GO:0070085,GO:0009987,GO:0004169,GO:0006464,GO:0009058,GO:0043413,GO:0008150,GO:0008152,GO:0005886,GO:0044723,GO:0006493,GO:0000030,GO:0044238,GO:0005975,GO:0044260,GO:0019538,GO:1901135,GO:0044464,GO:0043412,GO:0044237,GO:0043170,GO:0005575,GO:1901137,GO:0009059
WP_003511598.1	GO:0016021,GO:0016798
WP_003511600.1	GO:0016021,GO:0016757
WP_003511602.1	GO:0016740,GO:0000271,GO:0016021,GO:0097502
WP_003511603.1	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0008837,GO:0009089,GO:0046451,GO:0009085,GO:0044424
WP_003511604.1	GO:0003824,GO:0010285,GO:0008483,GO:0009058,GO:0030170,GO:0033362
WP_003511605.1	GO:0016021
WP_003511606.1	GO:0016829
WP_003511610.1	GO:0008616,GO:0008270,GO:0005524,GO:0016879
WP_003511612.1	GO:0070497,GO:0046872,GO:0008616
WP_003511613.1	GO:0051539,GO:1904047,GO:0051536,GO:0000287,GO:0003824,GO:0008616,GO:0016840
WP_003511616.1	GO:0003887,GO:0016798,GO:0071897
WP_003511632.1	GO:0016798,GO:0008152
WP_003511635.1	GO:0009185,GO:0042278,GO:0046710,GO:0046364,GO:0008928,GO:0005623,GO:0034641,GO:0006807,GO:0003674,GO:0019693,GO:0016868,GO:0072521,GO:0009259,GO:1901360,GO:0006139,GO:0044710,GO:0009132,GO:0040007,GO:0071704,GO:0009135,GO:0016020,GO:0006013,GO:1901068,GO:0016740,GO:0006793,GO:1901576,GO:0006725,GO:0009987,GO:0019318,GO:0019319,GO:0009150,GO:0003824,GO:0009058,GO:0008150,GO:0009116,GO:0008152,GO:0005886,GO:0044723,GO:0005975,GO:0009119,GO:0046128,GO:0009179,GO:0055086,GO:0046483,GO:0044238,GO:0016779,GO:1901564,GO:0005575,GO:0016772,GO:1901135,GO:0044464,GO:0044237,GO:0016051,GO:0006163,GO:1901657,GO:0006796,GO:0071944,GO:0005996,GO:0019637,GO:0009117,GO:0008905,GO:0006753,GO:0019307,GO:0070568,GO:0044281
WP_003511639.1	GO:0016740
WP_003511642.1	GO:0016020,GO:0003824,GO:0016740,GO:0004571,GO:0005509
WP_003511648.1	GO:0016021,GO:0016020,GO:0044464,GO:0005623,GO:0005575,GO:0071944,GO:0030001,GO:0005886,GO:0046873,GO:0055085
