Protein	Locus
ADU75350.1	Clo1313_2328
ADU74348.1	Clo1313_1285
ADU73427.1	Clo1313_0336
ADU75160.1	Clo1313_2119
WP_003517159.1	Clo1313_1365
ADU74775.1	Clo1313_1718
WP_003519528.1	Clo1313_2683
WP_003517607.1	Clo1313_1688
WP_003519034.1	Clo1313_1801
ADU74498.1	Clo1313_1436
ADU73859.1	Clo1313_0786
WP_003512988.1	Clo1313_0180
WP_003515505.1	Clo1313_1242
WP_003512634.1	Clo1313_1857
ADU73403.1	Clo1313_0312
ADU73892.1	Clo1313_0823
ADU73444.1	Clo1313_0354
WP_003515525.1	Clo1313_1232
WP_003516299.1	Clo1313_1465
ADU74490.1	Clo1313_1428
WP_003516636.1	Clo1313_1564
WP_003517764.1	Clo1313_2266
WP_003516624.1	Clo1313_1567
WP_003518472.1	Clo1313_2942
ADU74757.1	Clo1313_1700
ADU73825.1	Clo1313_0747
ADU75959.1	Clo1313_2981
WP_003515519.1	Clo1313_1235
WP_003518595.1	Clo1313_1285
WP_003514580.1	Clo1313_0428
WP_003518741.1	Clo1313_1395
WP_003517459.1	Clo1313_1007
ADU73388.1	Clo1313_0297
WP_003518334.1	Clo1313_0147
ADU74201.1	Clo1313_1137
WP_003515068.1	Clo1313_2820
WP_003519267.1	Clo1313_2689
ADU73570.1	Clo1313_0481
WP_003517812.1	Clo1313_2241
WP_003518392.1	Clo1313_2181
ADU74747.1	Clo1313_1690
ADU73510.1	Clo1313_0421
WP_003520963.1	Clo1313_1616
WP_003512265.1	Clo1313_2047
ADU75008.1	Clo1313_1961
ADU75654.1	Clo1313_2657
ADU74668.1	Clo1313_1607
ADU74334.1	Clo1313_1271
WP_003512316.1	Clo1313_2016
WP_003514309.1	Clo1313_0319
WP_003516192.1	Clo1313_1522
ADU75312.1	Clo1313_2283
ADU73518.1	Clo1313_0429
WP_003517218.1	Clo1313_1336
ADU73566.1	Clo1313_0477
WP_003514653.1	Clo1313_0460
ADU74126.1	Clo1313_1058
WP_003512663.1	Clo1313_1844
ADU75281.1	Clo1313_2249
ADU75012.1	Clo1313_1965
WP_003511903.1	Clo1313_2221
WP_003520986.1	Clo1313_1510
WP_003514315.1	Clo1313_0324
ADU75129.1	Clo1313_2088
ADU75289.1	Clo1313_2257
ADU74524.1	Clo1313_1462
WP_003517888.1	Clo1313_1781
WP_003514793.1	Clo1313_0609
WP_003519075.1	Clo1313_1785
WP_003512078.1	Clo1313_2136
WP_003513382.1	Clo1313_3012
WP_003512932.1	Clo1313_0207
WP_003516528.1	Clo1313_1613
ADU75580.1	Clo1313_2579
ADU73684.1	Clo1313_0602
ADU73103.1	Clo1313_0003
WP_003512113.1	Clo1313_2123
ADU73964.1	Clo1313_0896
WP_003517016.1	Clo1313_0934
WP_003513515.1	Clo1313_2940
ADU74458.1	Clo1313_1395
ADU75211.1	Clo1313_2171
ADU75109.1	Clo1313_2068
ADU74273.1	Clo1313_1209
ADU74289.1	Clo1313_1225
WP_003516264.1	Clo1313_1486
WP_003517503.1	Clo1313_0983
WP_003514776.1	Clo1313_0531
ADU75088.1	Clo1313_2047
ADU74394.1	Clo1313_1331
WP_003516532.1	Clo1313_1611
ADU73158.1	Clo1313_0059
WP_003512863.1	Clo1313_0248
