Protein	Locus
WP_003516028.1	Clo1313_2391
ADU75980.1	Clo1313_3002
ADU73187.1	Clo1313_0090
ADU75537.1	Clo1313_2533
WP_003520441.1	Clo1313_2877
ADU73270.1	Clo1313_0175
WP_003514222.1	Clo1313_2769
WP_003519447.1	Clo1313_1645
WP_003512395.1	Clo1313_1971
ADU74595.1	Clo1313_1533
WP_003516997.1	Clo1313_0943
ADU75527.1	Clo1313_2522
ADU73337.1	Clo1313_0243
WP_003516707.1	Clo1313_2783
ADU74014.1	Clo1313_0946
ADU75801.1	Clo1313_2821
ADU75854.1	Clo1313_2874
WP_003513349.1	Clo1313_3033
ADU75874.1	Clo1313_2894
WP_003511840.1	Clo1313_0768
ADU74828.1	Clo1313_1771
WP_003519032.1	Clo1313_1803
ADU75555.1	Clo1313_2551
ADU73435.1	Clo1313_0344
ADU73252.1	Clo1313_0156
WP_003517308.1	Clo1313_2358
WP_003519393.1	Clo1313_0879
WP_003517483.1	Clo1313_1001
WP_003517639.1	Clo1313_1671
ADU74034.1	Clo1313_0966
WP_003514880.1	Clo1313_0564
ADU75880.1	Clo1313_2900
ADU73415.1	Clo1313_0324
ADU74197.1	Clo1313_1133
WP_004463666.1	Clo1313_0980
WP_003513100.1	Clo1313_0115
WP_003521237.1	Clo1313_1185
WP_003513220.1	Clo1313_0058
ADU73346.1	Clo1313_0252
ADU75749.1	Clo1313_2765
ADU74338.1	Clo1313_1275
ADU73429.1	Clo1313_0338
ADU75648.1	Clo1313_2649
WP_003513108.1	Clo1313_0111
ADU73409.1	Clo1313_0318
WP_003513369.1	Clo1313_3019
ADU74113.1	Clo1313_1045
ADU74203.1	Clo1313_1139
ADU73837.1	Clo1313_0759
WP_003520408.1	Clo1313_2151
ADU73918.1	Clo1313_0849
WP_003516313.1	Clo1313_1456
ADU75957.1	Clo1313_2979
WP_003515527.1	Clo1313_1231
WP_003514643.1	Clo1313_0455
WP_003517212.1	Clo1313_1342
ADU75656.1	Clo1313_2659
WP_003517826.1	Clo1313_2234
ADU74480.1	Clo1313_1418
WP_003515746.1	Clo1313_1116
ADU74755.1	Clo1313_1698
WP_003519336.1	Clo1313_1904
ADU73827.1	Clo1313_0749
WP_003517772.1	Clo1313_2262
ADU74340.1	Clo1313_1277
WP_003511511.1	Clo1313_0615
WP_003517447.1	Clo1313_1013
WP_003514847.1	Clo1313_0580
WP_003516619.1	Clo1313_1569
WP_003513706.1	Clo1313_2836
WP_003517810.1	Clo1313_2242
ADU73512.1	Clo1313_0423
WP_003511659.1	Clo1313_0678
ADU75674.1	Clo1313_2684
WP_003514317.1	Clo1313_0326
ADU73978.1	Clo1313_0910
ADU75026.1	Clo1313_1979
ADU74336.1	Clo1313_1273
WP_003516611.1	Clo1313_1573
WP_003517463.1	Clo1313_1005
ADU73845.1	Clo1313_0769
WP_003514333.1	Clo1313_0333
WP_003513824.1	Clo1313_2557
WP_003516363.1	Clo1313_1435
WP_003520674.1	Clo1313_2385
WP_003515537.1	Clo1313_1226
ADU75756.1	Clo1313_2772
ADU74398.1	Clo1313_1335
WP_003520957.1	Clo1313_1628
ADU75735.1	Clo1313_2751
ADU74642.1	Clo1313_1581
ADU73839.1	Clo1313_0761
ADU75287.1	Clo1313_2255
WP_003512661.1	Clo1313_1846
WP_003515309.1	Clo1313_0373
ADU75010.1	Clo1313_1963
WP_003517000.1	Clo1313_0942
ADU74982.1	Clo1313_1933
WP_003516993.1	Clo1313_0945
ADU74769.1	Clo1313_1712
WP_003517550.1	Clo1313_0959
WP_003513513.1	Clo1313_2941
ADU73998.1	Clo1313_0930
WP_003517828.1	Clo1313_2233
WP_003516651.1	Clo1313_1553
WP_003513509.1	Clo1313_2943
WP_003516217.1	Clo1313_1511
WP_003517022.1	Clo1313_0931
WP_003513428.1	Clo1313_2985
ADU74650.1	Clo1313_1589
ADU75894.1	Clo1313_2914
ADU73568.1	Clo1313_0479
ADU74660.1	Clo1313_1599
ADU74569.1	Clo1313_1507
WP_003512048.1	Clo1313_2150
ADU74261.1	Clo1313_1197
ADU73686.1	Clo1313_0604
WP_003518229.1	Clo1313_0868
ADU73101.1	Clo1313_0001
ADU73966.1	Clo1313_0898
WP_003514456.1	Clo1313_0387
WP_003517532.1	Clo1313_0969
WP_003512217.1	Clo1313_2070
WP_003517014.1	Clo1313_0935
WP_003514102.1	Clo1313_2708
WP_003513496.1	Clo1313_2951
WP_003517913.1	Clo1313_1771
ADU73915.1	Clo1313_0846
ADU75070.1	Clo1313_2027
WP_003512516.1	Clo1313_1910
ADU73135.1	Clo1313_0035
WP_003517033.1	Clo1313_0925
WP_003518957.1	Clo1313_2203
ADU74108.1	Clo1313_1040
WP_003513630.1	Clo1313_2885
WP_003519432.1	Clo1313_1075
ADU74640.1	Clo1313_1579
ADU75137.1	Clo1313_2096
WP_003516262.1	Clo1313_1488
WP_003513022.1	Clo1313_0149
WP_003512076.1	Clo1313_2137
WP_003516465.1	Clo1313_0001
WP_003513628.1	Clo1313_2886
ADU75441.1	Clo1313_2427
ADU74549.1	Clo1313_1487
ADU74263.1	Clo1313_1199
ADU73944.1	Clo1313_0876
WP_003517211.1	Clo1313_1343
WP_003516001.1	Clo1313_2406
WP_003513074.1	Clo1313_0132
WP_003514229.1	Clo1313_2776
ADU75362.1	Clo1313_2340
WP_003520677.1	Clo1313_2384
ADU75113.1	Clo1313_2072
WP_003516457.1	Clo1313_0017
ADU73120.1	Clo1313_0020
ADU74541.1	Clo1313_1479
ADU75833.1	Clo1313_2853
ADU73996.1	Clo1313_0928
WP_003517496.1	Clo1313_0990
ADU73140.1	Clo1313_0040
WP_003515331.1	Clo1313_0358
ADU73593.1	Clo1313_0505
ADU74803.1	Clo1313_1746
WP_003512194.1	Clo1313_2078
WP_003519055.1	Clo1313_1796
WP_003515644.1	Clo1313_1168
WP_003516988.1	Clo1313_0947
ADU73702.1	Clo1313_0622
WP_003513015.1	Clo1313_0157
ADU73235.1	Clo1313_0139
WP_003512317.1	Clo1313_2015
WP_003513709.1	Clo1313_2834
ADU75240.1	Clo1313_2200
WP_003518674.1	Clo1313_1838
WP_003515482.1	Clo1313_0165
ADU74905.1	Clo1313_1852
ADU74567.1	Clo1313_1505
WP_003513600.1	Clo1313_2901
ADU75556.1	Clo1313_2552
WP_003513575.1	Clo1313_2913
ADU74313.1	Clo1313_1250
ADU75435.1	Clo1313_2421
WP_003515632.1	Clo1313_1174
ADU73255.1	Clo1313_0160
ADU73229.1	Clo1313_0133
ADU74911.1	Clo1313_1858
ADU75228.1	Clo1313_2188
ADU73617.1	Clo1313_0532
ADU74188.1	Clo1313_1124
WP_003517167.1	Clo1313_1361
ADU74428.1	Clo1313_1365
ADU74919.1	Clo1313_1867
ADU74303.1	Clo1313_1239
ADU75978.1	Clo1313_3000
ADU74134.1	Clo1313_1070
WP_003514120.1	Clo1313_2716
WP_003514698.1	Clo1313_0494
ADU75183.1	Clo1313_2142
WP_003516665.1	Clo1313_1547
WP_003512626.1	Clo1313_1862
ADU74681.1	Clo1313_1620
ADU75092.1	Clo1313_2051
WP_003517498.1	Clo1313_0988
ADU74420.1	Clo1313_1357
ADU73607.1	Clo1313_0522
WP_003516317.1	Clo1313_1453
ADU75970.1	Clo1313_2992
WP_003517796.1	Clo1313_2248
ADU73623.1	Clo1313_0539
ADU75950.1	Clo1313_2972
WP_003516869.1	Clo1313_2819
WP_003513277.1	Clo1313_0025
WP_003518072.1	Clo1313_2041
ADU73372.1	Clo1313_0281
WP_003514472.1	Clo1313_0395
WP_003517055.1	Clo1313_0916
WP_003516659.1	Clo1313_1550
ADU75453.1	Clo1313_2439
WP_003516290.1	Clo1313_1469
ADU74367.1	Clo1313_1304
ADU74041.1	Clo1313_0973
ADU74402.1	Clo1313_1339
WP_003517444.1	Clo1313_1015
WP_003514180.1	Clo1313_2745
ADU74214.1	Clo1313_1150
ADU73757.1	Clo1313_0677
ADU74061.1	Clo1313_0993
WP_003514372.1	Clo1313_0338
ADU74377.1	Clo1313_1314
ADU75254.1	Clo1313_2217
ADU74884.1	Clo1313_1828
ADU75677.1	Clo1313_2688
WP_003518129.1	Clo1313_2999
WP_003517583.1	Clo1313_1700
ADU75800.1	Clo1313_2820
WP_003512219.1	Clo1313_2069
ADU75667.1	Clo1313_2672
ADU73846.1	Clo1313_0770
WP_003516975.1	Clo1313_0953
ADU75768.1	Clo1313_2784
ADU73898.1	Clo1313_0829
ADU74075.1	Clo1313_1007
ADU74226.1	Clo1313_1162
WP_003513284.1	Clo1313_0019
WP_003515812.1	Clo1313_2487
WP_003512099.1	Clo1313_2129
WP_003513534.1	Clo1313_2930
ADU75486.1	Clo1313_2473
ADU73553.1	Clo1313_0464
WP_003516785.1	Clo1313_2707
ADU75736.1	Clo1313_2752
WP_003514433.1	Clo1313_0376
WP_003518592.1	Clo1313_1287
ADU73890.1	Clo1313_0821
WP_003514806.1	Clo1313_0599
ADU73543.1	Clo1313_0454
ADU73368.1	Clo1313_0277
WP_003512628.1	Clo1313_1859
WP_003513693.1	Clo1313_2846
ADU74169.1	Clo1313_1105
ADU74502.1	Clo1313_1440
WP_003518449.1	Clo1313_2614
ADU73431.1	Clo1313_0340
ADU73493.1	Clo1313_0403
ADU74175.1	Clo1313_1111
WP_003513046.1	Clo1313_0143
WP_003517733.1	Clo1313_2280
ADU74663.1	Clo1313_1602
ADU75663.1	Clo1313_2667
ADU75710.1	Clo1313_2726
ADU74722.1	Clo1313_1665
WP_003519346.1	Clo1313_0618
WP_003514326.1	Clo1313_0330
WP_003512781.1	Clo1313_0290
ADU73200.1	Clo1313_0103
WP_003518000.1	Clo1313_1719
ADU73706.1	Clo1313_0626
WP_003516205.1	Clo1313_1516
WP_003518240.1	Clo1313_0862
ADU74369.1	Clo1313_1306
ADU74801.1	Clo1313_1744
WP_003513861.1	Clo1313_2686
ADU75329.1	Clo1313_2302
WP_003518008.1	Clo1313_1711
WP_003517177.1	Clo1313_1359
ADU75766.1	Clo1313_2782
ADU73476.1	Clo1313_0386
ADU75349.1	Clo1313_2327
WP_003516598.1	Clo1313_1577
WP_003513415.1	Clo1313_2996
ADU75134.1	Clo1313_2093
WP_003517364.1	Clo1313_2331
WP_003515376.1	Clo1313_0298
ADU74381.1	Clo1313_1318
WP_003519601.1	Clo1313_2194
ADU73127.1	Clo1313_0027
WP_003515604.1	Clo1313_1189
ADU73947.1	Clo1313_0879
WP_003516171.1	Clo1313_1532
ADU74228.1	Clo1313_1164
WP_003517571.1	Clo1313_1703
WP_003519375.1	Clo1313_0629
WP_003511676.1	Clo1313_0697
ADU75055.1	Clo1313_2011
WP_003516145.1	Clo1313_0705
WP_003512164.1	Clo1313_2096
WP_003517621.1	Clo1313_1681
WP_014522612.1	Clo1313_1105
ADU73933.1	Clo1313_0865
WP_003519369.1	Clo1313_0640
WP_003511600.1	Clo1313_0648
ADU73590.1	Clo1313_0501
WP_003518704.1	Clo1313_1417
ADU73335.1	Clo1313_0241
WP_003513173.1	Clo1313_0080
WP_003519663.1	Clo1313_1423
ADU73657.1	Clo1313_0575
ADU74607.1	Clo1313_1545
ADU76011.1	Clo1313_3033
ADU73321.1	Clo1313_0227
ADU75355.1	Clo1313_2333
WP_003516150.1	Clo1313_0699
ADU74296.1	Clo1313_1232
ADU74248.1	Clo1313_1184
ADU75640.1	Clo1313_2641
ADU74945.1	Clo1313_1894
WP_003520530.1	Clo1313_0899
WP_003518383.1	Clo1313_2188
ADU74477.1	Clo1313_1415
ADU73647.1	Clo1313_0565
WP_003514625.1	Clo1313_0447
WP_003511713.1	Clo1313_0719
ADU75261.1	Clo1313_2226
WP_003514639.1	Clo1313_0453
ADU76004.1	Clo1313_3026
WP_003515725.1	Clo1313_1125
WP_003512584.1	Clo1313_1881
ADU75831.1	Clo1313_2851
ADU74950.1	Clo1313_1899
ADU75414.1	Clo1313_2397
ADU73357.1	Clo1313_0265
ADU74930.1	Clo1313_1878
WP_003516214.1	Clo1313_1512
WP_003514383.1	Clo1313_0350
ADU75938.1	Clo1313_2959
ADU73214.1	Clo1313_0117
WP_003519427.1	Clo1313_1854
WP_003520207.1	Clo1313_2706
WP_003517285.1	Clo1313_1301
ADU74465.1	Clo1313_1402
ADU73770.1	Clo1313_0691
WP_003515337.1	Clo1313_0354
WP_003518521.1	Clo1313_0487
ADU73750.1	Clo1313_0670
WP_003513780.1	Clo1313_2537
WP_003515288.1	Clo1313_0390
WP_003518637.1	Clo1313_1265
WP_003511688.1	Clo1313_0709
WP_011837932.1	Clo1313_1279
WP_003517222.1	Clo1313_1333
ADU75215.1	Clo1313_2175
ADU74479.1	Clo1313_1417
ADU75168.1	Clo1313_2127
WP_003517617.1	Clo1313_1683
WP_003512706.1	Clo1313_1815
WP_003518549.1	Clo1313_0466
ADU74008.1	Clo1313_0940
WP_003520265.1	Clo1313_1656
WP_003512407.1	Clo1313_1966
WP_003516073.1	Clo1313_0759
ADU75533.1	Clo1313_2529
ADU74844.1	Clo1313_1788
WP_003518937.1	Clo1313_2211
ADU75517.1	Clo1313_2508
ADU73745.1	Clo1313_0665
ADU75380.1	Clo1313_2358
ADU73294.1	Clo1313_0199
WP_003517512.1	Clo1313_0975
ADU75201.1	Clo1313_2161
WP_003514161.1	Clo1313_2735
ADU74346.1	Clo1313_1283
WP_003517096.1	Clo1313_0898
WP_003515811.1	Clo1313_2488
WP_014522637.1	Clo1313_2409
WP_003515942.1	Clo1313_2429
ADU73875.1	Clo1313_0803
WP_003518291.1	Clo1313_0844
WP_003512298.1	Clo1313_2023
ADU75870.1	Clo1313_2890
WP_003514175.1	Clo1313_2743
WP_003516590.1	Clo1313_1582
ADU75018.1	Clo1313_1971
WP_003515478.1	Clo1313_0168
ADU74873.1	Clo1313_1817
ADU74791.1	Clo1313_1734
ADU75991.1	Clo1313_3013
ADU74030.1	Clo1313_0962
ADU75878.1	Clo1313_2898
WP_003516642.1	Clo1313_1558
WP_003514292.1	Clo1313_2801
ADU74020.1	Clo1313_0952
ADU75896.1	Clo1313_2916
WP_003512286.1	Clo1313_2030
WP_003513371.1	Clo1313_3018
WP_003518023.1	Clo1313_2086
ADU74698.1	Clo1313_1637
WP_003515423.1	Clo1313_0258
WP_003517324.1	Clo1313_2350
WP_003511549.1	Clo1313_0626
WP_003514827.1	Clo1313_0592
WP_003512278.1	Clo1313_2034
ADU73471.1	Clo1313_0381
WP_003518876.1	Clo1313_1045
WP_003513840.1	Clo1313_2570
WP_003517802.1	Clo1313_2245
ADU75652.1	Clo1313_2654
WP_003515310.1	Clo1313_0372
ADU74707.1	Clo1313_1650
ADU74441.1	Clo1313_1378
WP_003516902.1	Clo1313_0587
ADU73823.1	Clo1313_0745
WP_003517357.1	Clo1313_2334
ADU73914.1	Clo1313_0845
WP_003515523.1	Clo1313_1233
ADU74717.1	Clo1313_1660
ADU75691.1	Clo1313_2707
WP_003517098.1	Clo1313_0897
WP_003516646.1	Clo1313_1556
WP_003515557.1	Clo1313_1214
ADU74484.1	Clo1313_1422
WP_003516626.1	Clo1313_1566
WP_003516198.1	Clo1313_1519
ADU73353.1	Clo1313_0260
ADU75771.1	Clo1313_2788
WP_003520969.1	Clo1313_1603
ADU74765.1	Clo1313_1708
WP_003513190.1	Clo1313_0072
WP_003514313.1	Clo1313_0322
WP_003513085.1	Clo1313_0124
ADU74083.1	Clo1313_1015
WP_003516157.1	Clo1313_0680
WP_003516190.1	Clo1313_1523
ADU74102.1	Clo1313_1034
ADU73516.1	Clo1313_0427
WP_003519167.1	Clo1313_1083
WP_003516367.1	Clo1313_1433
WP_003517403.1	Clo1313_2304
WP_003516455.1	Clo1313_0021
WP_003515513.1	Clo1313_1238
WP_003517736.1	Clo1313_2278
ADU74618.1	Clo1313_1556
ADU75898.1	Clo1313_2918
ADU74646.1	Clo1313_1585
WP_003518259.1	Clo1313_0855
ADU73504.1	Clo1313_0415
WP_003513961.1	Clo1313_2637
WP_003512488.1	Clo1313_1925
ADU74539.1	Clo1313_1477
ADU74998.1	Clo1313_1951
ADU74811.1	Clo1313_1754
ADU75014.1	Clo1313_1967
WP_003513765.1	Clo1313_2530
ADU74093.1	Clo1313_1025
WP_003512119.1	Clo1313_2120
WP_003514679.1	Clo1313_0474
WP_003516560.1	Clo1313_1600
ADU75473.1	Clo1313_2459
WP_003517208.1	Clo1313_1344
ADU75302.1	Clo1313_2271
ADU74622.1	Clo1313_1560
ADU74957.1	Clo1313_1906
ADU75283.1	Clo1313_2251
WP_003518399.1	Clo1313_2176
WP_003515630.1	Clo1313_1175
ADU75338.1	Clo1313_2312
ADU74136.1	Clo1313_1072
ADU73533.1	Clo1313_0444
WP_003519464.1	Clo1313_0818
ADU75796.1	Clo1313_2816
WP_003517534.1	Clo1313_0968
WP_014522591.1	Clo1313_0521
ADU74561.1	Clo1313_1499
ADU73682.1	Clo1313_0600
ADU73962.1	Clo1313_0894
ADU75662.1	Clo1313_2666
WP_003518868.1	Clo1313_1051
WP_003515987.1	Clo1313_2414
WP_003518610.1	Clo1313_1278
WP_003516017.1	Clo1313_2400
WP_003513354.1	Clo1313_3031
WP_003512064.1	Clo1313_2143
WP_003517509.1	Clo1313_0977
WP_003514230.1	Clo1313_2777
WP_003515302.1	Clo1313_0377
ADU73801.1	Clo1313_0723
WP_003515503.1	Clo1313_1243
WP_003513231.1	Clo1313_0053
ADU73338.1	Clo1313_0244
ADU73139.1	Clo1313_0039
ADU75445.1	Clo1313_2431
ADU73799.1	Clo1313_0721
ADU75826.1	Clo1313_2846
ADU75538.1	Clo1313_2534
WP_003517501.1	Clo1313_0985
WP_003511964.1	Clo1313_2190
ADU75921.1	Clo1313_2941
ADU74545.1	Clo1313_1483
ADU73791.1	Clo1313_0713
ADU75530.1	Clo1313_2525
WP_003516815.1	Clo1313_2871
WP_003514225.1	Clo1313_2772
ADU73785.1	Clo1313_0707
ADU73698.1	Clo1313_0618
ADU74833.1	Clo1313_1776
ADU73144.1	Clo1313_0044
ADU74874.1	Clo1313_1818
WP_003515335.1	Clo1313_0355
WP_003516700.1	Clo1313_2786
ADU75853.1	Clo1313_2873
ADU73164.1	Clo1313_0065
ADU75032.1	Clo1313_1985
ADU74112.1	Clo1313_1044
ADU75877.1	Clo1313_2897
WP_003517971.1	Clo1313_1743
WP_003512222.1	Clo1313_2067
WP_003513604.1	Clo1313_2899
WP_003519031.1	Clo1313_1804
ADU75552.1	Clo1313_2548
WP_003515668.1	Clo1313_1156
WP_003515487.1	Clo1313_0155
WP_003512411.1	Clo1313_1964
ADU73190.1	Clo1313_0093
WP_003519462.1	Clo1313_0820
ADU73251.1	Clo1313_0155
WP_003518670.1	Clo1313_1842
WP_003513135.1	Clo1313_0097
ADU74598.1	Clo1313_1536
ADU75224.1	Clo1313_2184
ADU73263.1	Clo1313_0168
WP_003517549.1	Clo1313_0960
ADU75954.1	Clo1313_2976
WP_003514144.1	Clo1313_2728
WP_003513372.1	Clo1313_3017
ADU75564.1	Clo1313_2560
ADU74307.1	Clo1313_1243
ADU73358.1	Clo1313_0266
ADU73980.1	Clo1313_0912
ADU75171.1	Clo1313_2130
WP_003512678.1	Clo1313_1830
ADU75187.1	Clo1313_2146
ADU75096.1	Clo1313_2055
ADU74011.1	Clo1313_0943
ADU73438.1	Clo1313_0348
ADU73865.1	Clo1313_0792
ADU75659.1	Clo1313_2663
WP_003515024.1	Clo1313_0306
WP_003512424.1	Clo1313_1956
ADU73424.1	Clo1313_0333
ADU73627.1	Clo1313_0543
ADU74192.1	Clo1313_1128
WP_003515682.1	Clo1313_1149
ADU74323.1	Clo1313_1260
WP_014522646.1	Clo1313_2563
WP_003515027.1	Clo1313_0303
WP_003519531.1	Clo1313_2684
ADU73430.1	Clo1313_0339
ADU75931.1	Clo1313_2952
WP_003516865.1	Clo1313_2829
WP_003518076.1	Clo1313_2035
ADU73406.1	Clo1313_0315
ADU73123.1	Clo1313_0023
ADU73820.1	Clo1313_0742
WP_003519478.1	Clo1313_0778
ADU75204.1	Clo1313_2164
WP_003518405.1	Clo1313_2170
ADU75803.1	Clo1313_2823
ADU75966.1	Clo1313_2988
WP_003518584.1	Clo1313_1291
WP_003522908.1	Clo1313_2654
WP_003515405.1	Clo1313_0276
WP_003517991.1	Clo1313_1727
WP_003511598.1	Clo1313_0647
ADU74210.1	Clo1313_1146
WP_003517817.1	Clo1313_2239
WP_003513602.1	Clo1313_2900
WP_003517654.1	Clo1313_1663
ADU73874.1	Clo1313_0802
ADU73364.1	Clo1313_0273
WP_003512650.1	Clo1313_1852
ADU74766.1	Clo1313_1709
WP_014522658.1	Clo1313_2845
ADU75673.1	Clo1313_2683
WP_003518419.1	Clo1313_2650
ADU74065.1	Clo1313_0997
WP_003515850.1	Clo1313_2467
ADU73485.1	Clo1313_0395
WP_003512313.1	Clo1313_2018
ADU74679.1	Clo1313_1618
ADU73842.1	Clo1313_0765
WP_003518305.1	Clo1313_0836
WP_014522622.1	Clo1313_1652
ADU74278.1	Clo1313_1214
WP_003511984.1	Clo1313_2180
WP_003516360.1	Clo1313_1437
ADU73557.1	Clo1313_0468
WP_003519126.1	Clo1313_1102
ADU75230.1	Clo1313_2190
ADU74645.1	Clo1313_1584
ADU75191.1	Clo1313_2150
WP_003511560.1	Clo1313_0635
WP_003519333.1	Clo1313_1908
ADU75807.1	Clo1313_2827
WP_003516591.1	Clo1313_1581
WP_003517777.1	Clo1313_2258
ADU75284.1	Clo1313_2252
ADU75017.1	Clo1313_1970
WP_003516269.1	Clo1313_1483
WP_003515923.1	Clo1313_2435
WP_003513387.1	Clo1313_3008
ADU73573.1	Clo1313_0484
WP_003514437.1	Clo1313_0378
WP_003519142.1	Clo1313_1094
ADU73534.1	Clo1313_0445
WP_003515275.1	Clo1313_0403
ADU73497.1	Clo1313_0408
WP_003517452.1	Clo1313_1011
ADU73184.1	Clo1313_0087
WP_003517938.1	Clo1313_1760
WP_003518722.1	Clo1313_1407
ADU74667.1	Clo1313_1606
WP_003520978.1	Clo1313_1548
WP_003514322.1	Clo1313_0328
WP_003515411.1	Clo1313_0264
ADU75185.1	Clo1313_2144
ADU74151.1	Clo1313_1087
ADU73961.1	Clo1313_0893
ADU73216.1	Clo1313_0119
WP_003516014.1	Clo1313_2401
WP_003518004.1	Clo1313_1715
ADU75585.1	Clo1313_2584
ADU74677.1	Clo1313_1616
ADU73132.1	Clo1313_0032
ADU75498.1	Clo1313_2486
ADU73224.1	Clo1313_0127
WP_003519431.1	Clo1313_1076
ADU75138.1	Clo1313_2097
ADU75724.1	Clo1313_2740
ADU74204.1	Clo1313_1140
ADU73481.1	Clo1313_0391
WP_003516275.1	Clo1313_1480
ADU74385.1	Clo1313_1322
WP_003517485.1	Clo1313_1000
ADU75442.1	Clo1313_2428
WP_003513807.1	Clo1313_2548
ADU73420.1	Clo1313_0329
ADU74518.1	Clo1313_1456
ADU73104.1	Clo1313_0004
WP_003516863.1	Clo1313_2831
ADU73943.1	Clo1313_0875
WP_003519076.1	Clo1313_1784
ADU75591.1	Clo1313_2590
WP_003512704.1	Clo1313_1817
WP_003513389.1	Clo1313_3006
WP_003516581.1	Clo1313_1589
ADU75371.1	Clo1313_2349
WP_003514788.1	Clo1313_0613
ADU75122.1	Clo1313_2081
ADU74546.1	Clo1313_1484
WP_003517036.1	Clo1313_0924
WP_003517495.1	Clo1313_0991
ADU75063.1	Clo1313_2019
WP_003518940.1	Clo1313_2208
WP_003513895.1	Clo1313_2599
WP_003514338.1	Clo1313_0335
WP_003517923.1	Clo1313_1767
WP_003518897.1	Clo1313_1034
ADU75279.1	Clo1313_2247
WP_003516388.1	Clo1313_1426
ADU75379.1	Clo1313_2357
WP_003516923.1	Clo1313_0554
WP_003520731.1	Clo1313_2968
WP_003512523.1	Clo1313_1905
ADU74542.1	Clo1313_1480
WP_003519185.1	Clo1313_0813
WP_003512416.1	Clo1313_1962
ADU74133.1	Clo1313_1069
WP_003520544.1	Clo1313_0956
ADU75718.1	Clo1313_2734
ADU74292.1	Clo1313_1228
ADU73653.1	Clo1313_0571
ADU75836.1	Clo1313_2856
ADU73586.1	Clo1313_0497
WP_003517891.1	Clo1313_1780
WP_003517126.1	Clo1313_0886
WP_003517946.1	Clo1313_1756
ADU73218.1	Clo1313_0121
WP_003518645.1	Clo1313_1261
ADU75626.1	Clo1313_2626
ADU74949.1	Clo1313_1898
ADU75259.1	Clo1313_2224
ADU74123.1	Clo1313_1055
ADU75079.1	Clo1313_2036
WP_003516134.1	Clo1313_0717
WP_003517161.1	Clo1313_1364
WP_003514606.1	Clo1313_0438
ADU75606.1	Clo1313_2606
ADU74516.1	Clo1313_1454
ADU73608.1	Clo1313_0523
ADU74304.1	Clo1313_1240
ADU75410.1	Clo1313_2393
ADU73230.1	Clo1313_0134
WP_003520446.1	Clo1313_2883
WP_003514577.1	Clo1313_0425
WP_003518875.1	Clo1313_1046
ADU75430.1	Clo1313_2414
WP_003515294.1	Clo1313_0384
ADU73600.1	Clo1313_0515
ADU75245.1	Clo1313_2207
WP_003515721.1	Clo1313_1127
WP_003516741.1	Clo1313_2749
ADU73620.1	Clo1313_0536
ADU75146.1	Clo1313_2105
ADU74560.1	Clo1313_1498
ADU75901.1	Clo1313_2921
WP_003515715.1	Clo1313_1130
ADU75438.1	Clo1313_2424
ADU74236.1	Clo1313_1172
ADU74934.1	Clo1313_1882
WP_003520682.1	Clo1313_2382
WP_003517783.1	Clo1313_2254
WP_003513657.1	Clo1313_2861
WP_003515807.1	Clo1313_2491
ADU73480.1	Clo1313_0390
WP_003512905.1	Clo1313_0227
ADU74914.1	Clo1313_1861
ADU73729.1	Clo1313_0649
WP_003514483.1	Clo1313_0399
ADU73588.1	Clo1313_0499
WP_003518633.1	Clo1313_1267
WP_003513153.1	Clo1313_0088
WP_003514467.1	Clo1313_0393
ADU74401.1	Clo1313_1338
ADU73754.1	Clo1313_0674
WP_003517241.1	Clo1313_1325
WP_003518450.1	Clo1313_2612
WP_003511596.1	Clo1313_0646
ADU74433.1	Clo1313_1370
WP_003519073.1	Clo1313_1787
WP_003514914.1	Clo1313_0547
ADU75773.1	Clo1313_2790
ADU73367.1	Clo1313_0276
WP_003519514.1	Clo1313_0770
ADU75257.1	Clo1313_2222
WP_003515760.1	Clo1313_1109
ADU75220.1	Clo1313_2180
WP_003512596.1	Clo1313_1875
ADU75608.1	Clo1313_2608
ADU75384.1	Clo1313_2366
WP_003517750.1	Clo1313_2272
WP_003514922.1	Clo1313_0540
WP_003514898.1	Clo1313_0555
WP_003516308.1	Clo1313_1460
WP_003518083.1	Clo1313_2024
WP_003518765.1	Clo1313_1383
WP_003515026.1	Clo1313_0304
ADU74848.1	Clo1313_1792
ADU74231.1	Clo1313_1167
ADU73554.1	Clo1313_0465
ADU75513.1	Clo1313_2503
WP_003517254.1	Clo1313_1319
WP_003518711.1	Clo1313_1413
ADU73735.1	Clo1313_0655
ADU74044.1	Clo1313_0976
WP_003516946.1	Clo1313_0526
WP_003513241.1	Clo1313_0046
WP_003515875.1	Clo1313_2457
WP_003515182.1	Clo1313_2813
WP_003515809.1	Clo1313_2490
WP_003518861.1	Clo1313_1055
WP_003514024.1	Clo1313_2667
WP_003515437.1	Clo1313_0239
WP_037294576.1	Clo1313_1951
WP_003512282.1	Clo1313_2032
WP_003516235.1	Clo1313_1503
WP_003518003.1	Clo1313_1716
ADU74454.1	Clo1313_1391
WP_003516250.1	Clo1313_1496
WP_003519231.1	Clo1313_0797
ADU73938.1	Clo1313_0870
WP_003514700.1	Clo1313_0495
ADU74146.1	Clo1313_1082
ADU75930.1	Clo1313_2951
WP_003516583.1	Clo1313_1588
WP_003517320.1	Clo1313_2352
ADU74533.1	Clo1313_1471
WP_003514647.1	Clo1313_0457
WP_003512427.1	Clo1313_1953
ADU74358.1	Clo1313_1295
