Protein	Cluster
WP_003514667.1	7
WP_003516367.1	4
WP_003516107.1	3
WP_003517736.1	2
ADU73992.1	19
WP_003514305.1	1
WP_003517903.1	1
WP_003518259.1	6
WP_003516564.1	7
ADU73504.1	2
WP_003513961.1	21
WP_003515892.1	15
ADU74998.1	29
WP_003516509.1	8
WP_003516566.1	24
WP_003515894.1	1
WP_003513765.1	1
WP_003512119.1	19
WP_003514679.1	14
WP_003516560.1	19
WP_003512574.1	13
WP_003512148.1	18
WP_003514675.1	9
WP_003515583.1	6
WP_003517185.1	9
WP_003513973.1	26
WP_003514673.1	1
WP_003517187.1	4
WP_003512910.1	30
WP_003515515.1	1
WP_003514797.1	10
WP_003512688.1	2
WP_003512912.1	11
WP_003517840.1	1
WP_003517534.1	15
WP_003518029.1	3
WP_003515048.1	1
WP_003513992.1	6
WP_003511976.1	2
WP_003514677.1	16
WP_003515581.1	25
WP_003517280.1	28
WP_003518955.1	4
WP_003512062.1	19
WP_003517836.1	11
WP_003516530.1	10
WP_003512064.1	4
WP_003513436.1	4
WP_003518959.1	3
WP_003513026.1	0
WP_003514124.1	3
WP_003511531.1	11
WP_003513231.1	2
WP_003518235.1	2
WP_003519285.1	9
WP_003514338.1	13
WP_003517075.1	9
WP_003511964.1	3
WP_003517282.1	11
WP_003520369.1	26
WP_003516403.1	7
WP_003518516.1	6
WP_003519236.1	14
WP_003512683.1	1
WP_003513014.1	14
WP_003518963.1	11
WP_003512035.1	1
WP_003517514.1	2
WP_003516296.1	2
WP_003513837.1	3
WP_003517490.1	12
WP_003512502.1	16
WP_003516411.1	29
WP_003518903.1	7
WP_003515658.1	10
WP_003515828.1	1
WP_003515629.1	4
WP_003521232.1	6
WP_003516982.1	2
WP_003512386.1	28
WP_003517352.1	30
WP_003512401.1	8
WP_003516702.1	0
ADU75877.1	27
WP_003519033.1	0
WP_003516271.1	23
WP_003521200.1	4
WP_003517987.1	17
WP_003519031.1	1
WP_003517989.1	20
WP_003512411.1	3
WP_003518588.1	7
WP_003518031.1	2
ADU75560.1	24
WP_003514144.1	7
WP_003516409.1	2
WP_003513372.1	1
WP_003515306.1	5
WP_003518379.1	15
WP_003518660.1	1
WP_003519202.1	8
WP_003513117.1	8
WP_003518662.1	13
WP_003519204.1	1
WP_003517604.1	22
WP_003516419.1	2
WP_003512420.1	2
WP_003519476.1	2
ADU74011.1	25
WP_003512422.1	10
WP_003518803.1	2
WP_003513610.1	9
WP_003512440.1	10
WP_003517214.1	27
WP_003515680.1	19
WP_003513203.1	20
WP_003518982.1	2
WP_003514830.1	24
WP_003512093.1	7
WP_003517144.1	26
WP_003519027.1	1
WP_003511573.1	31
WP_003515682.1	1
WP_003517213.1	27
WP_003515844.1	1
WP_003515843.1	17
WP_003514572.1	1
WP_003516641.1	1
WP_003518454.1	17
WP_003518740.1	2
WP_003516867.1	0
WP_003519478.1	2
WP_003517995.1	3
WP_003514458.1	3
WP_003518303.1	5
WP_003518584.1	2
WP_003517993.1	8
WP_003514456.1	25
WP_003512755.1	6
WP_003512352.1	29
WP_003513413.1	2
WP_003517991.1	0
WP_003511598.1	6
WP_003517747.1	33
WP_003515025.1	9
WP_003513527.1	26
WP_003517817.1	1
WP_003517654.1	1
WP_003512317.1	1
WP_003517464.1	20
WP_003515029.1	14
WP_003511564.1	4
WP_014522658.1	18
WP_003513713.1	12
WP_003512315.1	0
WP_003515850.1	3
WP_003519398.1	30
WP_003512313.1	27
WP_003517495.1	20
WP_003513282.1	23
WP_003512309.1	11
WP_003515536.1	12
WP_003518305.1	1
WP_003517805.1	5
WP_003511984.1	4
WP_003516360.1	0
WP_003518483.1	3
WP_003517450.1	2
WP_003518592.1	26
WP_003514654.1	31
WP_003521100.1	17
WP_003512981.1	4
WP_003514192.1	5
WP_003511560.1	18
WP_003512652.1	0
WP_003515854.1	10
WP_003514852.1	20
WP_003516269.1	11
WP_003518218.1	5
WP_003519144.1	32
WP_003515923.1	7
WP_003513387.1	16
WP_003519142.1	2
WP_003516902.1	1
WP_003515275.1	14
WP_003513385.1	24
WP_003516214.1	3
WP_003514302.1	12
WP_003517452.1	1
WP_003517938.1	3
WP_003513811.1	13
WP_003519437.1	29
WP_003512259.1	19
WP_003511628.1	4
WP_003518722.1	10
WP_003517916.1	1
WP_003515523.1	1
WP_003512257.1	5
WP_003514322.1	4
WP_003512606.1	30
WP_003517877.1	16
WP_003513827.1	12
WP_003512921.1	30
WP_080552882.1	3
WP_003519433.1	22
WP_003517920.1	0
WP_003512894.1	5
WP_003514075.1	12
WP_003519431.1	8
ADU75724.1	14
WP_003516257.1	16
WP_003518895.1	8
WP_003513904.1	14
WP_003519072.1	1
WP_003517042.1	1
WP_003512055.1	27
WP_003511777.1	7
WP_003519421.1	2
WP_003512222.1	0
WP_003512204.1	24
WP_003516315.1	13
WP_003517549.1	26
WP_011838186.1	6
WP_003517112.1	17
WP_003512704.1	9
WP_003520552.1	1
WP_003512919.1	1
WP_003513389.1	5
WP_003517497.1	23
WP_003515330.1	2
WP_003520721.1	10
WP_003515602.1	8
WP_003517038.1	1
WP_003517493.1	5
WP_003513421.1	10
WP_003518897.1	9
WP_003511610.1	12
WP_003517940.1	14
WP_003516388.1	1
WP_003520526.1	1
WP_004463813.1	29
WP_003517918.1	0
WP_003512521.1	0
WP_003516923.1	29
WP_003517485.1	2
WP_003516495.1	9
WP_003512414.1	3
WP_003515616.1	32
WP_003512448.1	2
WP_003512523.1	7
WP_003512416.1	3
WP_003515614.1	8
WP_003512917.1	5
WP_003517869.1	15
WP_003512178.1	23
WP_003519349.1	6
WP_003515551.1	24
WP_003515651.1	15
WP_003513493.1	9
WP_003517891.1	30
WP_003516871.1	2
WP_003513829.1	23
WP_003518649.1	11
WP_003511612.1	1
WP_003519574.1	5
WP_003516386.1	16
WP_003515791.1	12
WP_003511692.1	0
ADU74300.1	0
WP_003516134.1	10
WP_003512427.1	25
WP_003514606.1	23
WP_003517058.1	0
WP_003516132.1	22
WP_003511715.1	2
WP_003512418.1	7
WP_003512627.1	1
WP_003517499.1	1
WP_003520446.1	10
ADU75920.1	9
WP_003514577.1	31
WP_003518875.1	33
WP_003520372.1	0
WP_003511696.1	1
WP_003514399.1	2
WP_003518863.1	4
WP_003513908.1	9
WP_003518456.1	17
WP_003513509.1	21
WP_003520472.1	1
WP_003516678.1	2
WP_003515572.1	7
WP_003512623.1	5
WP_003516306.1	2
WP_003518655.1	2
WP_003518557.1	9
WP_003518635.1	3
