C0 (167 genes)	C1 (76 genes)	C2 (56 genes)	C3 (19 genes)	C4 (16 genes)	C5 (51 genes)	C6 (32 genes)	C7 (41 genes)	C8 (84 genes)	C9 (51 genes)	C10 (79 genes)	C11 (56 genes)	C12 (41 genes)	C13 (17 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
WP_003512101.1	WP_003513141.1	WP_003514582.1			WP_003515387.1	WP_003516406.1	WP_003515686.1	WP_003513693.1	WP_003514904.1	WP_003514218.1	WP_003515527.1	WP_003515613.1	
WP_003512162.1	WP_003513195.1	WP_003514583.1			WP_003515543.1	WP_003516780.1	WP_003515703.1	WP_003513756.1	WP_003515281.1	WP_003514317.1	WP_003515614.1	WP_003515832.1	
WP_003512179.1	WP_003513207.1	WP_003514623.1			WP_003515557.1	WP_003516977.1	WP_003515853.1	WP_003513814.1	WP_003515750.1	WP_003514554.1	WP_003515833.1	WP_003515836.1	
WP_003512194.1	WP_003513209.1	WP_003514690.1			WP_003515581.1	WP_003517020.1	WP_003515892.1	WP_003513819.1	WP_003515754.1	WP_003514578.1	WP_003516139.1	WP_003516143.1	
WP_003512197.1	WP_003513339.1	WP_003515284.1			WP_003515593.1	WP_003517495.1	WP_003515960.1	WP_003513826.1	WP_003516096.1	WP_003514647.1	WP_003516178.1	WP_003516198.1	
WP_003512252.1	WP_003513371.1	WP_003515667.1			WP_003515680.1	WP_003517950.1	WP_003516112.1	WP_003513857.1	WP_003516132.1	WP_003514673.1	WP_003516184.1	WP_003516233.1	
WP_003512363.1	WP_003513372.1	WP_003515762.1			WP_003515896.1	WP_003517986.1	WP_003516166.1	WP_003513902.1	WP_003516200.1	WP_003514863.1	WP_003516241.1	WP_003516256.1	
WP_003512374.1	WP_003513490.1	WP_003515854.1			WP_003515923.1	WP_003518136.1	WP_003516239.1	WP_003513929.1	WP_003516214.1	WP_003515020.1	WP_003516360.1	WP_003516667.1	
WP_003512411.1	WP_003513588.1	WP_003515943.1			WP_003516075.1	WP_003518165.1	WP_003516282.1	WP_003514219.1	WP_003516259.1	WP_003515021.1	WP_003516470.1	WP_003517014.1	
WP_003512414.1	WP_003513604.1	WP_003516107.1			WP_003516142.1	WP_003518454.1	WP_003516353.1	WP_003514339.1	WP_003516319.1	WP_003515361.1	WP_003516509.1	WP_003517096.1	
WP_003512576.1	WP_003513691.1	WP_003516613.1			WP_003516435.1	WP_003518706.1	WP_003516698.1	WP_003514612.1	WP_003516465.1	WP_003515363.1	WP_003516518.1	WP_003517112.1	
WP_003512592.1	WP_003513992.1	WP_003516678.1			WP_003516520.1	WP_003520369.1	WP_003517278.1	WP_003514630.1	WP_003516517.1	WP_003515509.1	WP_003516525.1	WP_003517274.1	
WP_003512622.1	WP_003514618.1	WP_003516702.1			WP_003516665.1	WP_003520554.1	WP_003517391.1	WP_003514835.1	WP_003516668.1	WP_003515563.1	WP_003516530.1	WP_003517597.1	
WP_003512662.1	WP_003514728.1	WP_003516759.1			WP_003516952.1		WP_003517483.1	WP_003515026.1	WP_003516913.1	WP_003515673.1	WP_003516591.1	WP_003517880.1	
WP_003512828.1	WP_003514820.1	WP_003516777.1			WP_003517076.1		WP_003517957.1	WP_003515306.1	WP_003517177.1	WP_003515682.1	WP_003516617.1	WP_003517983.1	
WP_003512844.1	WP_003514987.1	WP_003517058.1			WP_003517147.1		WP_003517989.1	WP_003515408.1	WP_003517198.1	WP_003515732.1	WP_003516870.1	WP_003518187.1	
WP_003512910.1	WP_003515405.1	WP_003517163.1			WP_003517189.1		WP_003517996.1	WP_003515434.1	WP_003517215.1	WP_003515910.1	WP_003517498.1	WP_003518239.1	
WP_003512921.1	WP_003515646.1	WP_003517447.1			WP_003517235.1		WP_003518362.1	WP_003515515.1	WP_003517266.1	WP_003516190.1	WP_003517525.1	WP_003518280.1	
WP_003513128.1	WP_003515843.1	WP_003517454.1			WP_003517264.1		WP_003518481.1	WP_003515678.1	WP_003517497.1	WP_003516243.1	WP_003517617.1	WP_003518593.1	
WP_003513130.1	WP_003515844.1	WP_003517667.1			WP_003517383.1		WP_003518712.1	WP_003515690.1	WP_003517512.1	WP_003516273.1	WP_003517639.1	WP_003519431.1	
WP_003513147.1	WP_003515849.1	WP_003517742.1			WP_003517741.1		WP_003518914.1	WP_003515733.1	WP_003517679.1	WP_003516315.1	WP_003517797.1	WP_003520372.1	
WP_003513303.1	WP_003515875.1	WP_003517748.1			WP_003517888.1		WP_003519055.1	WP_003515847.1	WP_003518120.1	WP_003516337.1	WP_003517868.1	WP_004463813.1	
WP_003513513.1	WP_003516137.1	WP_003517805.1			WP_003517953.1			WP_003515917.1	WP_003518160.1	WP_003516351.1	WP_003518001.1		
WP_003513581.1	WP_003516160.1	WP_003517836.1			WP_003517972.1			WP_003516105.1	WP_003518809.1	WP_003516495.1	WP_003518029.1		
WP_003513583.1	WP_003516284.1	WP_003517900.1			WP_003517984.1			WP_003516211.1	WP_003519056.1	WP_003516560.1	WP_003518077.1		
WP_003513639.1	WP_003516364.1	WP_003518182.1			WP_003517987.1			WP_003516225.1	WP_003519194.1	WP_003517004.1	WP_003518445.1		
WP_003513758.1	WP_003516409.1	WP_003518401.1			WP_003517993.1			WP_003516356.1	WP_003519329.1	WP_003517038.1	WP_003518536.1		
WP_003513763.1	WP_003516878.1	WP_003518633.1			WP_003518614.1			WP_003516379.1	WP_003520986.1	WP_003517098.1	WP_003518554.1		
WP_003513773.1	WP_003516982.1	WP_003518722.1			WP_003518671.1			WP_003516462.1	WP_011837904.1	WP_003517181.1	WP_003518592.1		
WP_003513817.1	WP_003517060.1	WP_003518895.1			WP_003518955.1			WP_003516483.1	WP_011838186.1	WP_003517268.1	WP_003518635.1		
WP_003513884.1	WP_003517161.1	WP_003519168.1			WP_003519236.1			WP_003516528.1	WP_014522587.1	WP_003517499.1	WP_003518893.1		
WP_003513888.1	WP_003517214.1	WP_003519238.1			WP_003519285.1			WP_003516573.1	WP_095522195.1	WP_003517549.1	WP_003519002.1		
WP_003513973.1	WP_003517346.1	WP_003519558.1						WP_003516641.1		WP_003517583.1	WP_003519075.1		
